evidence_id,run_id,layer,metric,value,unit,evidence_class,clock_domain,source_file,source_locator,availability,confidence,supports_claim_ids,challenges_claim_ids,limitations,taint_tags,reference_type,distribution_scope,causal_lineage_grade,endpoint_definition,semantic_role,requirement_id,host,timestamp_type
EV.L6.OUTCOME.202607271131,202607271131,L6,physical_outcome,collision,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,COLLISION,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271131,202607271131,P_TARGET,target_identity_and_presence,11,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271131,202607271131,L2,target_update_gap_max,108.21318626403809,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271131,202607271131,L4,tau_retro,,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,MISSING,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271131,,
EV.PFUNC.202607271131,202607271131,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271202,202607271202,L1,bridge_delay_actual_wall_data_observed_ms,300.317662,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271202,202607271202,L2,T_R,699.1548538208008,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271202,202607271202,L5,D_response_wall_integral_data_observed_m,11.749044628602803,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271202,202607271202,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271202,202607271202,P_TARGET,target_identity_and_presence,15,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271202,202607271202,L2,target_update_gap_max,99.1971492767334,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271202,202607271202,L4,tau_retro,749.5795586026107,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271202,,
EV.PFUNC.202607271202,202607271202,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271206,202607271206,L1,bridge_delay_actual_wall_data_observed_ms,300.072552,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271206,202607271206,L2,T_R,800.753116607666,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271206,202607271206,L5,D_response_wall_integral_data_observed_m,13.74109871705313,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271206,202607271206,L6,physical_outcome,uncertain_geometry_event_conflict,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271206,202607271206,P_TARGET,target_identity_and_presence,10,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271206,202607271206,L2,target_update_gap_max,105.05509376525879,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271206,202607271206,L4,tau_retro,720.2664666974033,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271206,,
EV.PFUNC.202607271206,202607271206,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271211,202607271211,L1,bridge_delay_actual_wall_data_observed_ms,300.147747,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271211,202607271211,L2,T_R,700.1669406890869,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271211,202607271211,L5,D_response_wall_integral_data_observed_m,11.999340611264754,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271211,202607271211,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271211,202607271211,P_TARGET,target_identity_and_presence,12,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271211,202607271211,L2,target_update_gap_max,97.66387939453125,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271211,202607271211,L4,tau_retro,772.989282885938,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271211,,
EV.PFUNC.202607271211,202607271211,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271643,202607271643,L1,bridge_delay_actual_wall_data_observed_ms,300.099534,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271643,202607271643,L2,T_R,893.8701152801514,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271643,202607271643,L5,D_response_wall_integral_data_observed_m,15.450549919780316,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271643,202607271643,L6,physical_outcome,collision,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,COLLISION,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271643,202607271643,P_TARGET,target_identity_and_presence,6,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271643,202607271643,L2,target_update_gap_max,99.26295280456543,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271643,202607271643,L4,tau_retro,,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,MISSING,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271643,,
EV.PFUNC.202607271643,202607271643,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L4.TAU_MODEL.202607271031,202607271031,L4,tau_model,1056.3206244296296,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271031,,
EV.L5.DEBT_MODEL.202607271031,202607271031,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271048,202607271048,L4,tau_model,498.52166905215006,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271048,,
EV.L5.DEBT_MODEL.202607271048,202607271048,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271054,202607271054,L4,tau_model,465.2471517441111,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271054,,
EV.L5.DEBT_MODEL.202607271054,202607271054,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271059,202607271059,L4,tau_model,566.5569909545137,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271059,,
EV.L5.DEBT_MODEL.202607271059,202607271059,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271104,202607271104,L4,tau_model,578.0343841823385,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271104,,
EV.L5.DEBT_MODEL.202607271104,202607271104,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271108,202607271108,L4,tau_model,485.08364205677634,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271108,,
EV.L5.DEBT_MODEL.202607271108,202607271108,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271113,202607271113,L4,tau_model,510.5696521203918,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271113,,
EV.L5.DEBT_MODEL.202607271113,202607271113,L5,D_debt_model_predicted,0.0,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271131,202607271131,L4,tau_model,512.2701616920314,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271131,,
EV.L5.DEBT_MODEL.202607271131,202607271131,L5,D_debt_model_predicted,5.01801401715007,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271202,202607271202,L4,tau_model,696.801893842447,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271202,,
EV.L5.DEBT_MODEL.202607271202,202607271202,L5,D_debt_model_predicted,0.03991041048348326,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271206,202607271206,L4,tau_model,652.1970361625639,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271206,,
EV.L5.DEBT_MODEL.202607271206,202607271206,L5,D_debt_model_predicted,2.575092682811252,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271211,202607271211,L4,tau_model,692.9015106621088,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271211,,
EV.L5.DEBT_MODEL.202607271211,202607271211,L5,D_debt_model_predicted,0.12404540488292044,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
EV.L4.TAU_MODEL.202607271643,202607271643,L4,tau_model,312.7939677497206,ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,P_DEADLINE.all_runs|C4.all_runs,,Baseline-calibrated in-sample model; not an independent validated timing requirement.,MODEL|UNVALIDATED,,,,,,REQ.MODEL.202607271643,,
EV.L5.DEBT_MODEL.202607271643,202607271643,L5,D_debt_model_predicted,10.308794723211703,m,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_model_predicted.csv,legacy generated run-level table,AVAILABLE,LOW,C5.all_runs,,Model-derived debt retains MODEL taint and is not observed primary distance debt.,MODEL|UNVALIDATED,,,,,,,,
